word,syllables,source,status
trano,tra-no,prompt word list,manual
rano,ra-no,prompt word list,manual
olona,o-lo-na,prompt word list,manual
tany,ta-ny,prompt word list,manual
sekoly,se-ko-ly,prompt word list,manual
boky,bo-ky,prompt word list,manual
sary,sa-ry,prompt word list,manual
fampianarana,fam-pia-na-ra-na,prompt word list,manual
fikarohana,fi-ka-ro-ha-na,prompt word list,manual
fanabeazana,fa-na-bea-za-na,prompt word list,manual
fampandrosoana,fam-pan-dro-so-a-na,prompt word list,manual
fifandraisana,fi-fan-drai-sa-na,prompt word list,manual
fanatanterahana,fa-na-tan-te-ra-ha-na,prompt word list,manual
informatika,in-for-ma-ti-ka,prompt word list,manual
algoritma,al-go-rit-ma,prompt word list,manual
matematika,ma-te-ma-ti-ka,prompt word list,manual
statistika,sta-tis-ti-ka,prompt word list,manual
programa,pro-gra-ma,prompt word list,manual
teknolojia,tek-no-lo-jia,prompt word list,manual
mpianatra,mpia-na-tra,prompt word list,manual
mpampianatra,mpam-pia-na-tra,prompt word list,manual
oniversite,o-ni-ver-si-te,prompt word list,manual
