number,french,malagasy,status,source
1,janvier,Janoary,validated,tenymalagasy.gov.mg
2,février,Febroary,validated,tenymalagasy.gov.mg
3,mars,Marsa,validated,tenymalagasy.gov.mg
4,avril,Avrily,validated,tenymalagasy.gov.mg
5,mai,Mey,validated,tenymalagasy.gov.mg
6,juin,Jona,validated,tenymalagasy.gov.mg
7,juillet,Jolay,validated,tenymalagasy.gov.mg
8,août,Aogositra,validated,tenymalagasy.gov.mg
9,septembre,Septambra,validated,tenymalagasy.gov.mg
10,octobre,Oktobra,validated,tenymalagasy.gov.mg
11,novembre,Novambra,validated,tenymalagasy.gov.mg
12,décembre,Desambra,validated,tenymalagasy.gov.mg
